web-scraper-order;web-scraper-start-url;load_article;load_article-href;get_title;get_authors;get_year;get_journal
1647173058-104;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Revolutionäre Trends in der Zusammenarbeit: The wiki way, the twitter way, the open innovation way.;https://www.alexandria.unisg.ch/213366/;Revolutionäre Trends in der Zusammenarbeit: The wiki way, the twitter way, the open innovation way;Back, Andrea;23. Sep 09;
1647172853-7;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Collaborative Learning in Action: Management Education at the University of St. Gallen.;https://www.alexandria.unisg.ch/6814/;Collaborative Learning in Action: Management Education at the University of St. Gallen;"Back, Andrea; Seufert, Sabine & Seufert, Andreas";21. Sep 98;
1647173045-98;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Web-based Open Innovation - ""What‘s Your Strategy for Creating Knowledge, Products, and Services with Online Communities?"".";https://www.alexandria.unisg.ch/213661/;"Web-based Open Innovation - ""What‘s Your Strategy for Creating Knowledge, Products, and Services with Online Communities?""";Back, Andrea;19. Mär 09;
1647173290-215;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Lern- und Wissensportale in Corporate Universities.;https://www.alexandria.unisg.ch/214312/;Lern- und Wissensportale in Corporate Universities;Back, Andrea & Bendel, Oliver;2002;
1647172874-17;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Knowledge Networking: Von der Vision zum Business Case.;https://www.alexandria.unisg.ch/213548/;Knowledge Networking: Von der Vision zum Business Case;Back, Andrea;01. Jan 00;
1647172906-32;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;IT und Wissensmanagement: Freude oder Feinde?;https://www.alexandria.unisg.ch/213639/;IT und Wissensmanagement: Freude oder Feinde?;Back, Andrea;19. Sep 01;
1647172910-34;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;e-Learning-Projekte: Lernen via e-Training und e-Collaboration.;https://www.alexandria.unisg.ch/66838/;e-Learning-Projekte: Lernen via e-Training und e-Collaboration;Back, Andrea;25. Sep 01;
1647173501-316;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Stages in Digital Business Transformation: Results of an Empirical Maturity Study.;https://www.alexandria.unisg.ch/249286/;Stages in Digital Business Transformation: Results of an Empirical Maturity Study;Berghaus, Sabine & Back, Andrea;04. Sep 16;
1647173325-232;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Gestaltung eines Blended-Learning-Szenarios vor dem Hintergrund der Unterstützung einer neuen Lernkultur in Unternehmen.;https://www.alexandria.unisg.ch/67295/;Gestaltung eines Blended-Learning-Szenarios vor dem Hintergrund der Unterstützung einer neuen Lernkultur in Unternehmen;Back, Andrea & Keller, Miriam;2007;
1647172881-20;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Knowledge Management und Knowledge Portale: Konzepte und Trends.;https://www.alexandria.unisg.ch/213116/;Knowledge Management und Knowledge Portale: Konzepte und Trends;Back, Andrea;11. Apr 00;
1647173001-77;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;HSG Business Engineering Research Program.;https://www.alexandria.unisg.ch/214010/;HSG Business Engineering Research Program;Back, Andrea;07. Mär 06;
1647173494-313;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;How Can We Design Products, Services, and Software That Reflect the Needs of Our Stakeholders? : Towards a Canvas for Successful Requirements Engineering.;https://www.alexandria.unisg.ch/241639/;How Can We Design Products, Services, and Software That Reflect the Needs of Our Stakeholders? : Towards a Canvas for Successful Requirements Engineering;Ruf, Christian & Back, Andrea;22. Mai 15;Lecture Notes in Computer Science
1647173233-188;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Blended-Learning-Projekte im Unternehmen.;https://www.alexandria.unisg.ch/213554/;Blended-Learning-Projekte im Unternehmen;Keller, Miriam & Back, Andrea;01. Apr 04;
