web-scraper-order,web-scraper-start-url,published,published-href,authors,date,journal,title
"1647205919-137","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Social Media: What is Social Media and how will Social Media change our future working environment.","https://www.alexandria.unisg.ch/216812/","Back, Andrea","null","null","Social Media: What is Social Media and how will Social Media change our future working environment"
"1647205906-131","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Barrieren am Weg zum Mobile Contactless Payment Eine Marktanalyse und Bestandsaufnahme der Situation in der Schweiz.","https://www.alexandria.unisg.ch/216766/","Back, Andrea","1 March 2012","null","Barrieren am Weg zum Mobile Contactless Payment Eine Marktanalyse und Bestandsaufnahme der Situation in der Schweiz"
"1647206521-417","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Innovation durch den Einsatz von Enterprise
IoT-Lösungen: Ein Modell zur Bestimmung des
Innovationspotenzials.","https://www.alexandria.unisg.ch/258266/","Marheine, Christian; Gruber, Lukas & Back, Andrea","null","HMD Praxis der Wirtschaftsinformatik","Innovation durch den Einsatz von Enterprise
IoT-Lösungen: Ein Modell zur Bestimmung des
Innovationspotenzials"
"1647206403-363","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Plato-Cookbook: Wie gestalte ich meinen Unterricht im Internet-Klassenzimmer?","https://www.alexandria.unisg.ch/213808/","Back, Andrea","null","Forum","Plato-Cookbook: Wie gestalte ich meinen Unterricht im Internet-Klassenzimmer?"
"1647206478-398","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Shadow IT - A view from behind the curtain.","https://www.alexandria.unisg.ch/232521/","Silic, Mario & Back, Andrea","null","Computers & Security","Shadow IT - A view from behind the curtain"
"1647206006-178","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Qualitative und ökonomische Potenziale der Einführung eines LMS in der Credit Suisse.","https://www.alexandria.unisg.ch/67628/","Bendel, Oliver; Bursian, Olaf; Oberlin, Karin; Keller, Miriam; Leithner, Barbara & Back, Andrea","null","null","Qualitative und ökonomische Potenziale der Einführung eines LMS in der Credit Suisse"
"1647206013-181","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Virtuelle Kooperation - Erhaltung des Antriebs. (Virtual cooperation - Supporting the drive). Knowledge Integration after Mergers & Acquisitions in RWE.","https://www.alexandria.unisg.ch/289/","Gurgul, Grzegorz; Enkel, Ellen & Schulte, K.","2002","null","Virtuelle Kooperation - Erhaltung des Antriebs. (Virtual cooperation - Supporting the drive). Knowledge Integration after Mergers & Acquisitions in RWE"
"1647205851-105","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Differences in ERP Implementations in India & Western Europe.","https://www.alexandria.unisg.ch/214231/","Talwar, Manish & Back, Andrea","null","null","Differences in ERP Implementations in India & Western Europe"
"1647205872-115","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Welche Kompetenzen in der digitalen Welt 2020 gebraucht werden.","https://www.alexandria.unisg.ch/213699/","Back, Andrea","16 June 2010","null","Welche Kompetenzen in der digitalen Welt 2020 gebraucht werden"
"1647206369-347","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Bildung für das Verständnis von Informations- und Kommunikationstechnik (IuK) - IuK für die Ausbildung.","https://www.alexandria.unisg.ch/213807/","Back, Andrea","null","Schweizerische Zeitschrift für kaufmännisches Bildungswesen","Bildung für das Verständnis von Informations- und Kommunikationstechnik (IuK) - IuK für die Ausbildung"
"1647205874-116","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","2.0 Upgradings in Project Management - Opportunities and Risks Through Wiki-Way- and (Micro)Blogging Practices.","https://www.alexandria.unisg.ch/213944/","Back, Andrea","null","null","2.0 Upgradings in Project Management - Opportunities and Risks Through Wiki-Way- and (Micro)Blogging Practices"
"1647205966-159","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Knowledge Networks: Linking Knowledge Management to Business Strategy.","https://www.alexandria.unisg.ch/214149/","Vassiliadis, Stefanos; Wicki, Yvonne; Seufert, Andreas; von Krogh, G. & Back, Andrea","null","null","Knowledge Networks: Linking Knowledge Management to Business Strategy"
"1647206150-245","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","A Reference Model for E-Collaboration within the Dispersed Sales Force Training Process in Multinational Companies.","https://www.alexandria.unisg.ch/214092/","Heidecke, Florian & Back, Andrea","null","null","A Reference Model for E-Collaboration within the Dispersed Sales Force Training Process in Multinational Companies"
"1647206161-250","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Das St. Galler Enterprise-2.0-Methodenset - Ein Ansatz zum organisatorischen Wandel.","https://www.alexandria.unisg.ch/216600/","Friedel, Dominik & Back, Andrea","null","null","Das St. Galler Enterprise-2.0-Methodenset - Ein Ansatz zum organisatorischen Wandel"
"1647205704-42","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","eLearning im Unternehmen: Lessons Learned und Erfahrungslücken.","https://www.alexandria.unisg.ch/66857/","Back, Andrea","null","null","eLearning im Unternehmen: Lessons Learned und Erfahrungslücken"
"1647206495-406","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Factors driving unified communications and collaboration adoption and use in organizations.","https://www.alexandria.unisg.ch/247618/","Silic, Mario & Back, Andrea","null","Measuring Business Excellence","Factors driving unified communications and collaboration adoption and use in organizations"
"1647205756-67","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Die praktische Umsetzung von Blended-Learning-Angeboten in der betrieblichen Aus- und Weiterbildung.","https://www.alexandria.unisg.ch/213390/","Back, Andrea","null","null","Die praktische Umsetzung von Blended-Learning-Angeboten in der betrieblichen Aus- und Weiterbildung"
"1647205964-158","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","A Vision for Knowledge Networking.","https://www.alexandria.unisg.ch/197043/","Seufert, Andreas; Back, Andrea & von Krogh, G.","null","null","A Vision for Knowledge Networking"
"1647206491-404","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Email: from hero to zero - the beginning of the end?","https://www.alexandria.unisg.ch/243832/","Silic, Mario; Back, Andrea & Silic, Dario","null","Journal of Information Technology Teaching Cases","Email: from hero to zero - the beginning of the end?"
"1647206039-193","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Current State Analysis and Identification of Opportunities in Roche's Sales Force Training.","https://www.alexandria.unisg.ch/214103/","Heidecke, Florian; Mayrhofer, David; Back, Andrea & Schiesser, Andreas","null","null","Current State Analysis and Identification of Opportunities in Roche's Sales Force Training"
"1647206015-182","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Perspectives for our partners. Innovation and the network option.","https://www.alexandria.unisg.ch/288/","Rumyantseva, Maria; Enkel, Ellen & Gurgul, Grzegorz","2002","null","Perspectives for our partners. Innovation and the network option"
"1647206228-281","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Software Tools for E-Collaboration: Evaluating Web-Conferencing Tools.","https://www.alexandria.unisg.ch/213725/","Mayrhofer, David; Back, Andrea; Hubschmid, Roger & Heidecke, Florian","null","null","Software Tools for E-Collaboration: Evaluating Web-Conferencing Tools"
"1647206084-214","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","E-Learning.","https://www.alexandria.unisg.ch/213287/","Bendel, Oliver & Stoller-Schai, Daniel","null","null","E-Learning"
"1647206272-302","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","A Text Mining Approach to Evaluate Submissions to Crowdsourcing Contests.","https://www.alexandria.unisg.ch/223363/","Walter, Thomas & Back, Andrea","null","null","A Text Mining Approach to Evaluate Submissions to Crowdsourcing Contests"
"1647205739-59","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Der rechte Umgang mit Stakeholdern.","https://www.alexandria.unisg.ch/66833/","Back, Andrea","null","null","Der rechte Umgang mit Stakeholdern"
"1647206077-211","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Virtual Reality.","https://www.alexandria.unisg.ch/66700/","Back, Andrea","null","null","Virtual Reality"
"1647205683-32","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Corporate E-Learning: Strategic Issues.","https://www.alexandria.unisg.ch/213138/","Back, Andrea","null","null","Corporate E-Learning: Strategic Issues"
"1647205689-35","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","IT und Wissensmanagement: Freude oder Feinde?","https://www.alexandria.unisg.ch/213639/","Back, Andrea","null","null","IT und Wissensmanagement: Freude oder Feinde?"
"1647206041-194","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Ich habe fertig - aus der Sicht der Mertens-Zauberlehrlinge (Laudatio, gehalten an der WISO in Nürnberg am 10. Januar 2006, Emeritierung Prof. Dr. Peter Mertens).","https://www.alexandria.unisg.ch/213849/","Back, Andrea","1 January 2006","null","Ich habe fertig - aus der Sicht der Mertens-Zauberlehrlinge (Laudatio, gehalten an der WISO in Nürnberg am 10. Januar 2006, Emeritierung Prof. Dr. Peter Mertens)"
"1647205662-22","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Technologie und Mensch im Wissensmanagement.","https://www.alexandria.unisg.ch/213494/","Back, Andrea","null","null","Technologie und Mensch im Wissensmanagement"
"1647205685-33","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","eLearning als Herausforderung für die Personal- und Organisationsentwicklung.","https://www.alexandria.unisg.ch/214097/","Back, Andrea","null","null","eLearning als Herausforderung für die Personal- und Organisationsentwicklung"
"1647206086-215","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Critical Success Factors (CSF).","https://www.alexandria.unisg.ch/213910/","Back, Andrea","null","null","Critical Success Factors (CSF)"
"1647205926-140","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Habilitation: ""Beiträge der Daten-, Informations- und Wissensverarbeitung zur Weiterentwicklung des Internen Rechnungswesens und Controllings"".","https://www.alexandria.unisg.ch/196668/","Back, Andrea","null","null","Habilitation: ""Beiträge der Daten-, Informations- und Wissensverarbeitung zur Weiterentwicklung des Internen Rechnungswesens und Controllings""."
"1647205656-19","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Lernen in der Wissensgesellschaft: Paradigmenwechsel für die betriebliche Bildung.","https://www.alexandria.unisg.ch/214217/","Back, Andrea","null","null","Lernen in der Wissensgesellschaft: Paradigmenwechsel für die betriebliche Bildung"
"1647205894-125","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Enterprise 2.0 für das Management.","https://www.alexandria.unisg.ch/146663/","Back, Andrea","null","null","Enterprise 2.0 für das Management"
"1647206178-258","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Mobile First auch in Beratungsprozessen des Private Banking? Entwicklung und Validierung einer iPad-Applikation.","https://www.alexandria.unisg.ch/248640/","Ruf, Christian; Back, Andrea & Burkhardt, Marc","null","null","Mobile First auch in Beratungsprozessen des Private Banking? Entwicklung und Validierung einer iPad-Applikation"
"1647206054-200","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Wearable Business Solutions – Herleitung und Auswirkung auf die Value Creation durch Unternehmen im Jahr 2021 mittels Szenariotechnik und Delphimethode.","https://www.alexandria.unisg.ch/249220/","Heusler, Noemi & Back, Andrea","null","null","Wearable Business Solutions – Herleitung und Auswirkung auf die Value Creation durch Unternehmen im Jahr 2021 mittels Szenariotechnik und Delphimethode"
"1647206167-253","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Bloggen und Microblogging in Lehrveranstaltungen : Variationen aus sieben Jahren eigener Lehrpraxis.","https://www.alexandria.unisg.ch/223503/","Back, Andrea","null","null","Bloggen und Microblogging in Lehrveranstaltungen : Variationen aus sieben Jahren eigener Lehrpraxis"
"1647206298-314","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Is an App Better than an Email? Developing Trust in a Mobile Financial Advisory Service : Design and Evaluation of a Prototype.","https://www.alexandria.unisg.ch/239780/","Ruf, Christian; Back, Andrea & Wittmann, Matthias","null","null","Is an App Better than an Email? Developing Trust in a Mobile Financial Advisory Service : Design and Evaluation of a Prototype"
