web-scraper-order;web-scraper-start-url;content
1647115527-179;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Hain, Stefanie & Back, Andrea: 	Learning Journal - Weblogs in Academic Courses. 	2008. 	- 3rd International Conference on e-Learning. 	- Cape Town."
1647115527-479;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	Vom Wissensmanagement zum Wissensnetzwerk. 	Kongress ""lernlandschaften"". 	Freiburg, 	1 Oktober 2003."
1647115527-146;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Ruf, Christian & Back, Andrea: 	Adoption of Online Videos in Organizations : A Multi-Case Comparison. 	2013. 	- 26th Bled eConference ""eInnovations: challenges and impacts for individuals, organizations and society"". 	- Bled, Slovenia."
1647115527-31;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea; Reinmann, Gabi & Baumgartner, Peter  	(2014) 	Editorial: Erste Ausgabe von iTeL. 	Interdisziplinäre Zeitschrift für Technologie und Lernen (iTeL), 	 	(1). 	3-5."
1647115527-522;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	Aufbau einer massgeschneiderten IT-Architektur für das Wissensmanagement. 	2. Österreichischer Wissensmanagement-Kongress. 	Wien, 	1 März 2000."
1647115527-267;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Josef, Barbara; Sapegina, Anastasia; Back, Andrea & Weibel, Antoinette: 	Coworking aus Unternehmenssicht II: Out of Office – into the Flow? 	St.Gallen : 	IWI-HSG & FAA-HSG, Universität St.Gallen, 	2019."
1647115527-143;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Sammer, Thomas; Brechbühl, Hans & Back, Andrea: 	The New Enterprise Mobility: Seizing the Opportunities and Challenges in Corporate Mobile IT. 	2013. 	- 19th Americas Conference on Information Systems (AMCIS 2013). 	- Chicago, IL."
1647115527-250;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	E-Learning und Wissensmanagement zusammenführen.     	In       	Hohenstein, Andreas & Wilbers, Karl (Hrsg.):      	Handbuch E-Learning: Expertenwissen aus Wissenschaft und Praxis.  	Köln : 	Dt. Wirtschaftsdienst, 	2002,"
1647115527-74;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Raimann, Joerg & Back, Andrea  	(2002) 	Informations- und Kommunikationsdienste für Wissensnetzwerke. 	wisu das wirtschaftsstudium, 	 	(Nr 5/02). 	698-706."
1647115527-24;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Link, Björn & Back, Andrea  	(2015) 	Classifying systemic differences between Software as a Service- and On-Premise-Enterprise Resource Planning. 	Journal of Enterprise Information Management, 	28 	(6). 	808-837. 	ISSN 1741-0398"
1647115527-206;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Silic, Mario; Back, Andrea & Sammer, Thomas: 	Employee acceptance and use of unified communications and collaboration in a cross-cultural environment.     	In       	      	Remote work and collaboration : breakthroughs in research and practice.  	Hershey PA : 	IGI Global, 	2017, 	S. 1-22."
1647115527-382;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	Von einer, die auszog, in der Cloud zu arbeiten: Ein Erfahrungsbericht …. 	ASUT Seminar. 	Bern, 	9 Juni 2011."
1647115527-252;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea & Bendel, Oliver: 	Lern- und Wissensportale in Corporate Universities.     	In       	Glotz, Peter & Seufert, Sabine (Hrsg.):      	Corporate University : Wie Unternehmen ihre Mitarbeiter mit e-learning erfolgreich weiterbilden.  	Frauenfeld : 	Huber, 	2002, 	S. 53-63."
1647115527-388;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	Videobasiertes Workplace Learning - Auf dem Siegeszug 2.0. 	Swiss eLearning Conference. 	Zürich, 	6 April 2011."
1647115527-349;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Sammer, Thomas; Back, Andrea & Bessing, Stefan: 	Mobile Business 2013 : Der Einfluss von Second Generation Enterprise Mobility auf die Value Chain von Unternehmen. 	 	T-Systems Multimedia Solutions GmbH, 	2013."
