Alexandria Scraper - Andrea Beck;;;;;;;;;;;;;;;;;;;;
Publikationstitel;Link;Autorennamen;Publikationsart;Journal;Fachgebiete;Sprache;Stichworte;Peer-Reviewed;Datum;Verlag;Auflage;Ausgabe;Seiten;ISSN;DOI;URL;Eingestellt von;Einstellungsdatum;Letzte Änderung;URI
Erfolgreiche E-Learning-Anwendungsfelder - jetzt und in der Zukunft.;https://www.alexandria.unisg.ch/66859/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning;Nein;2 Dezember 2003;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:31;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66859
Integrating the Smartphone : Applying the U-Constructs Approach on the Case of Mobile University Services.;https://www.alexandria.unisg.ch/211867/;"Sammer, Thomas; Camichel, Fabio Armon & Back, Andrea";"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;;Ja;3 September 2011;AIS Electronic Library (AISeL);;;12;;;http://aisel.aisnet.org/mcis2011/26;Thomas Sammer;02 Mai 2012 16:09;23 Aug 2017 09:23;https://www.alexandria.unisg.ch/publications/211867
Vorbereitungsgrad von Unternehmen für E-Learning.;https://www.alexandria.unisg.ch/214075/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning;Nein;1 Oktober 2003;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:48;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214075
Knowledge Networks for Business Growth.;https://www.alexandria.unisg.ch/300/;;Buch;;business studies;Englisch;Knowledge Networks, Guideline, Cases, Customer Integration, Networks for M&A Integration, Innovation Networks;Nein;2006;Springer;;;226;;10.1007/978-3-540-33073-8;;Ellen Enkel;25 Okt 2004 12:01;27 Feb 2016 14:40;https://www.alexandria.unisg.ch/publications/300
Atos: Towards Zero Email Company.;https://www.alexandria.unisg.ch/242234/;Silic, Mario & Back, Andrea;Fallstudie;;business studies;Englisch;"Social collaboration; Email communication; Zero-email; Enterprise social network; BlueKiwi; Digital transformation";Ja;2015;;;;;;;;Prof. Dr. Andrea Back;02 Jul 2015 15:25;13 Mar 2022 01:22;https://www.alexandria.unisg.ch/publications/242234
Teamarbeit 2.0: Global - zeitgemäss - kompetent.;https://www.alexandria.unisg.ch/216813/;Back, Andrea;Präsentation;;information management;Deutsch;Web 2.0, Enterprise 2.0;Nein;7 September 2012;;;;;;;;Prof. Dr. Andrea Back;21 Sep 2012 11:46;13 Mar 2022 01:22;https://www.alexandria.unisg.ch/publications/216813
Differences in ERP Implementations in India & Western Europe.;https://www.alexandria.unisg.ch/214231/;Talwar, Manish & Back, Andrea;Präsentation;;information management;Deutsch;Enterprise Resource Planning;Nein;9 August 2009;;;;;;;;Prof. Dr. Andrea Back;30 Jun 2010 12:04;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214231
Lerntagebuch als Weblog innovativ umgesetzt.;https://www.alexandria.unisg.ch/213680/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Lerntechnologien, Lernprozesse;Nein;8 Februar 2007;;;;;;;;Prof. Dr. Andrea Back;22 Feb 2007 13:41;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213680
Ich bin drin - im Web 2.0! Meine Arbeitspraxis 2.0.;https://www.alexandria.unisg.ch/216764/;Back, Andrea;Präsentation;;information management;Deutsch;Web 2.0, Social Media, Enterprise 2.0;Nein;2 Dezember 2011;;;;;;;;Prof. Dr. Andrea Back;20 Sep 2012 15:36;23 Aug 2016 11:14;https://www.alexandria.unisg.ch/publications/216764
Zum Verhältnis von eLearning und Wissensmanagement im Unternehmen.;https://www.alexandria.unisg.ch/249434/;Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;education;Deutsch;;;30 September 2002;Ges. für Informatik;19;;304-312;;;;Prof. Dr. Andrea Back;13 Okt 2016 09:30;12 Mar 2022 01:24;https://www.alexandria.unisg.ch/publications/249434
The Influence of Human Networks and Human Value Systems on Knowledge Sharing/Transfer Projects.;https://www.alexandria.unisg.ch/66704/;"Koehne, Marija; Raimann, Joerg; Seufert, Andreas; von Krogh, G. & Back, Andrea";"Monograph
  	      
              (Working Paper)";;information management;Englisch;Knowledge Networks;Nein;1 Januar 1999;;;;;;;;Prof. Dr. Andrea Back;23 Jun 2006 16:52;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66704
Learning Communities im Inter-/Intranet.;https://www.alexandria.unisg.ch/213892/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;12 November 1998;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:45;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213892
Competing with Intellectual Capital: Theoretical Background.;https://www.alexandria.unisg.ch/196948/;"Back, Andrea; Seufert, Andreas; Vassiliadis, Stefanos & von Krogh, Georg";"Monograph
  	      
              (Working Paper)";;information management;Englisch;Knowledge-Management-Strategien, Knowledge Management, Performance Measurement;Nein;20 März 2000;;;;;;;;Prof. Dr. Andrea Back;30 Jun 2006 09:10;23 Aug 2016 11:10;https://www.alexandria.unisg.ch/publications/196948
Web-Analyse-Dienste als Instrument des Blog-Monitoring.;https://www.alexandria.unisg.ch/68009/;Walter, Thomas & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Deutsch;;Ja;23 Februar 2010;Universitätsverlag Göttingen;;;1303-1315;;;http://webdoc.sub.gwdg.de/univerlag/2010/mkwi/03_a...;Dr. Thomas Walter;29 Apr 2010 12:54;03 Mai 2017 13:34;https://www.alexandria.unisg.ch/publications/68009
Online-Video im E-Learning von Unternehmen - Bedeutung, Fallbeispiele, Didaktik, Produktion sowie Distribution mit Social Media.;https://www.alexandria.unisg.ch/213177/;Back, Andrea;Präsentation;;information management;Deutsch;E-Learning;Nein;12 August 2010;;;;;;;;Prof. Dr. Andrea Back;17 Aug 2010 10:04;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213177
Wissensmanagement.;https://www.alexandria.unisg.ch/213927/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Knowledge Management;Nein;13 März 2002;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:53;12 Mar 2022 01:22;https://www.alexandria.unisg.ch/publications/213927
How Can We Design Products, Services, and Software That Reflect the Needs of Our Stakeholders? : Towards a Canvas for Successful Requirements Engineering.;https://www.alexandria.unisg.ch/241639/;Ruf, Christian & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";Lecture Notes in Computer Science;information management;Englisch;Requirements Engineering, Artefact Orientation;Ja;22 Mai 2015;;9073;;455-462;0302-9743;10.1007/978-3-319-18714-3_38;;Christian Ruf;16 Jun 2015 09:03;23 Aug 2016 11:21;https://www.alexandria.unisg.ch/publications/241639
"Podiumsdiskussion ""Deutschland - Entwicklerstandort oder Entwicklungsland?"", geleitet von Dr. H.-H. Kappel; weitere Mitwirkende Prof. Dr. H.-L. Grob, Prof. Dr. M. Zitterbart, F. Milius, Armin Hopp.";https://www.alexandria.unisg.ch/213629/;Back, Andrea;Präsentation;;information management;Deutsch;;Nein;7 Februar 2002;;;;;;;;Prof. Dr. Andrea Back;30 Jun 2006 12:36;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213629
HSG Business Engineering Research Program.;https://www.alexandria.unisg.ch/214010/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Business Engineering;Nein;7 März 2006;;;;;;;;Prof. Dr. Andrea Back;01 Sep 2006 10:40;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214010
Beiträge des BSC-Ansatzes zur strategischen Verankerung von E-Learning im Unternehmen.;https://www.alexandria.unisg.ch/66826/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Balanced Scorecard, E-Learning;Nein;27 September 2004;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 11:33;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66826
Executive Information System (EIS).;https://www.alexandria.unisg.ch/196825/;Back, Andrea & Seufert, Andreas;Buchkapitel;;information management;Deutsch;Informationsmanagement;Nein;2001;;4., neubearb. u. erw. Aufl.;;192-193;;;;Prof. Dr. Andrea Back;30 Jun 2006 10:49;23 Aug 2016 11:10;https://www.alexandria.unisg.ch/publications/196825
E-Learning strategisch! Balanced Scorecard: Strategieinstrument für E-Learning.;https://www.alexandria.unisg.ch/66848/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Balanced Scorecard;Nein;20 September 2001;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:13;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66848
„Die Kinder üben eine Denkhaltung“.;https://www.alexandria.unisg.ch/260035/;Back, Andrea & Grüttner, Arne;Zeitungs- oder Magazinartikel;Personalwirtschaft - Das Magazin für den Job HR: Alter! So fördern und nutzen Sie die Talente erfahrener Mitarbeiter;"business studies
economics
computer science
information management
education";Deutsch;;;Januar 2020;Personalwirtschaft;01/2020;;56-58;;;https://www.personalwirtschaft.de/produkte/archiv/...;Arne Grüttner;01 Apr 2020 08:38;01 Apr 2020 08:43;https://www.alexandria.unisg.ch/publications/260035
High-Tech Teaching in a Semi-Virtual CEMS Course: Experiences with Collaborative Learning in Action.;https://www.alexandria.unisg.ch/213854/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Virtual Classroom;Nein;18 Mai 2000;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:34;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213854
Wissensnetzwerke in Unternehmen - mit Technik und Pragmatismus zum Erfolg.;https://www.alexandria.unisg.ch/213527/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;15 Februar 2007;;;;;;;;Prof. Dr. Andrea Back;22 Feb 2007 13:56;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213527
Elicitation of Requirements for the Design of Mobile Financial Advisory Services - Instantiation and Validation of the Requirement Data Model with a Multi-method Approach.;https://www.alexandria.unisg.ch/238650/;"Ruf, Christian; Back, Andrea; Bergmann, Richard & Schlegel, Michael";"Konferenzbeitrag
  	      (Paper)";;business studies;Englisch;Mobile Business, Requirements Engineering, Mobile Banking, Wealth Management;Ja;4 Januar 2015;;;;1169-1178;;10.1109/HICSS.2015.142;;Christian Ruf;19 Jan 2015 17:07;23 Aug 2016 11:21;https://www.alexandria.unisg.ch/publications/238650
Wissens-Wiki im IT-Betrieb und Notfall-Management bei der SFS services AG.;https://www.alexandria.unisg.ch/216601/;"Cervellieri, Adrian; Buchli, Reto & Back, Andrea";Buchkapitel;;information management;Deutsch;Web 2.0, Wiki;Nein;2012;;3., vollst. überarb. Aufl.;;273-282;;;;Prof. Dr. Andrea Back;12 Sep 2012 17:23;23 Aug 2016 11:14;https://www.alexandria.unisg.ch/publications/216601
Sind Sie up-to-date? Übersicht über moderne Kommunikationsmittel und ihre praktische Anwendung.;https://www.alexandria.unisg.ch/197081/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning;Nein;10 Mai 2007;;;;;;;;Prof. Dr. Andrea Back;13 Jun 2007 17:11;23 Aug 2016 11:10;https://www.alexandria.unisg.ch/publications/197081
Wissensnetzwerke: Vision - Referenzmodell - Archetypen und Fallbeispiele.;https://www.alexandria.unisg.ch/213768/;"Back, Andrea; Seufert, Andreas & von Krogh, G.";Buchkapitel;;information management;Deutsch;Communities of Practice, Knowledge Management, Knowledge Networks, Wissensmanagement;Nein;1999;Rainer Hampp;;;133-156;;;;Prof. Dr. Andrea Back;23 Jun 2006 16:52;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213768
E-Learning.;https://www.alexandria.unisg.ch/213287/;Bendel, Oliver & Stoller-Schai, Daniel;Buchkapitel;;information management;Deutsch;E-Learning;Nein;2001;;4., neubearb. u. erw. Aufl.;;164-165;;;;Oliver Bendel;30 Jun 2006 10:00;13 Mar 2022 01:21;https://www.alexandria.unisg.ch/publications/213287
eLearning im Unternehmen: Lessons Learned und Erfahrungslücken.;https://www.alexandria.unisg.ch/66857/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning;Nein;7 Februar 2002;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:29;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66857
Perspective for our partners: New Ventures: important concepts and theories.;https://www.alexandria.unisg.ch/294/;Makarevitch, Alexei & Enkel, Ellen;"Monograph
  	      
              (Working Paper)";;business studies;Englisch;;Nein;2001;;;Vol. 3. BE HSG/IWI 3 IfB No 31;;;;;Ellen Enkel;25 Okt 2004 11:17;27 Feb 2016 14:40;https://www.alexandria.unisg.ch/publications/294
Newsfeeds und Newsaggregatoren.;https://www.alexandria.unisg.ch/67445/;Heidecke, Florian;Buchkapitel;;information management;Deutsch;Web 2.0, Social Software, E-Collaboration;Nein;2008;;;;57-63;;;;Florian Heidecke;08 Okt 2008 09:08;07 Apr 2016 07:23;https://www.alexandria.unisg.ch/publications/67445
Einführung.;https://www.alexandria.unisg.ch/213501/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;18 November 2004;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:26;13 Mar 2022 01:21;https://www.alexandria.unisg.ch/publications/213501
Unterwegs auf der Formel1-Rennstrecke der E-Learning-Innovationen.;https://www.alexandria.unisg.ch/214375/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning;Nein;4 Dezember 2006;;;;;;;;Prof. Dr. Andrea Back;10 Okt 2011 09:08;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214375
"Digital-Entrepreneurship-Werkstatt:
Ein Start-up Baukasten für das Klassenzimmer.";https://www.alexandria.unisg.ch/260243/;Grüttner, Arne & Back, Andrea;Zeitungs- oder Magazinartikel;bildung+ schule digital;"business studies
economics
computer science
information management
education";Deutsch;;;Mai 2020;Friedrich Verlag;05/2020;;24-28;;;https://www.friedrich-verlag.de/bildung-plus/;Arne Grüttner;18 Mai 2020 13:36;18 Mai 2020 13:42;https://www.alexandria.unisg.ch/publications/260243
Stossrichtungen für Kundenbeziehungen in Web-2.0-Kultur.;https://www.alexandria.unisg.ch/213221/;Back, Andrea;Präsentation;;information management;Deutsch;Web 2.0;Nein;20 November 2009;;;;;;;;Prof. Dr. Andrea Back;17 Dez 2009 15:23;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213221
Social Media: What is Social Media and how will Social Media change our future working environment.;https://www.alexandria.unisg.ch/216812/;Back, Andrea;Präsentation;;information management;Deutsch;Social Media;Nein;20 August 2012;;;;;;;;Prof. Dr. Andrea Back;21 Sep 2012 09:48;23 Aug 2016 11:14;https://www.alexandria.unisg.ch/publications/216812
Qualitative und ökonomische Potenziale der Einführung eines LMS in der Credit Suisse.;https://www.alexandria.unisg.ch/67628/;"Bendel, Oliver; Bursian, Olaf; Oberlin, Karin; Keller, Miriam; Leithner, Barbara & Back, Andrea";"Monograph
  	      
              (Working Paper)";;information management;Deutsch;E-Learning, Lern- und Wissensportale, Lerntechnologien;Nein;1 Juni 2001;Institut für Wirtschaftsinformatik;;2/2001;;;;;Oliver Bendel;16 Apr 2009 14:45;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/67628
Wissensnetzwerke: Das neue Instrument für die Förderung von Wissensaustausch und Wissensentwicklung im Unternehmen.;https://www.alexandria.unisg.ch/264/;Enkel, Ellen & Back, Andrea;Buchkapitel;;business studies;Deutsch;;Ja;2002;Frankfurter Allg. Buch;1. Aufl.;;149-169;;;;Ellen Enkel;25 Okt 2004 11:11;23 Aug 2016 10:52;https://www.alexandria.unisg.ch/publications/264
Digital Transformation Compass – A Guide to Management Methods and Tools in Digital Transformation Initiatives (Proposal of Future Work).;https://www.alexandria.unisg.ch/257355/;Back, Andrea & Schacker, Maximilian;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;;;13 Juni 2019;;;;1-9;;;;Prof. Dr. Andrea Back;16 Jul 2019 13:34;03 Sep 2019 12:31;https://www.alexandria.unisg.ch/publications/257355
The Emergence and Impact of Web 2.0.;https://www.alexandria.unisg.ch/67612/;Back, Andrea;Präsentation;;information management;Deutsch;Web 2.0;Nein;3 März 2009;;;;;;;;Prof. Dr. Andrea Back;05 Mar 2009 09:51;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/67612
Lern- und Wissensportale in Corporate Universities.;https://www.alexandria.unisg.ch/214312/;Back, Andrea & Bendel, Oliver;Buchkapitel;;information management;Deutsch;Corporate Universities, E-Learning, Lern- und Wissensportale;Nein;2002;;;;53-63;;;;Prof. Dr. Andrea Back;30 Jun 2006 12:23;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214312
Knowledge Management in Challenging Settings - A Case of Military Aircraft.;https://www.alexandria.unisg.ch/213119/;"Mayrhofer, David; Heilmeier, Peter; Nirankari, Ravi & Back, Andrea";"Konferenzbeitrag
  	      (Paper)";Journal of Universal Computer Science;information management;Englisch;Cases, Knowledge-Management-Modelle, Wissensmanagement;Nein;29 Juni 2005;;;;335-344;0948-695X;;;David Mayrhofer;05 Jul 2005 08:12;12 Mar 2022 01:22;https://www.alexandria.unisg.ch/publications/213119
Computer Supported Cooperative Work im Fokus des Bankensektors.;https://www.alexandria.unisg.ch/214141/;"Back, Andrea; Bauknecht, K.; Morger, O. & Tjoa, A.";"Monograph
  	      
              (Working Paper)";;information management;Deutsch;Collaboration;Nein;1 Januar 1997;;;;;;;;Prof. Dr. Andrea Back;30 Jun 2006 09:13;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214141
Critical Success Factors (CSF).;https://www.alexandria.unisg.ch/213910/;Back, Andrea;Buchkapitel;;information management;Deutsch;Strategisches Management;Nein;2001;;4., neubearb. u. erw. Aufl.;;124-125;;;;Prof. Dr. Andrea Back;30 Jun 2006 09:22;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213910
Informationsversorgung des Staates in der Informationsgesellschaft.;https://www.alexandria.unisg.ch/213797/;Bendel, Oliver & Back, Andrea;"Monograph
  	      
              (Working Paper)";;information management;Deutsch;;Nein;1 April 2003;Institut für Wirtschaftsinformatik;;3/2003;;;;;Oliver Bendel;16 Apr 2009 15:04;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213797
Bestimmung des Enterprise-2.0-Entwicklungsstands mit einem Reifegradmodell.;https://www.alexandria.unisg.ch/216599/;Friedel, Dominik & Back, Andrea;Buchkapitel;;information management;Deutsch;Enterprise 2.0, Web 2.0;Nein;2012;;3., vollst. überarb. Aufl.;;102-108;;;;Prof. Dr. Andrea Back;12 Sep 2012 16:32;23 Aug 2016 11:14;https://www.alexandria.unisg.ch/publications/216599
Mobile First auch in Beratungsprozessen des Private Banking? Entwicklung und Validierung einer iPad-Applikation.;https://www.alexandria.unisg.ch/248640/;"Ruf, Christian; Back, Andrea & Burkhardt, Marc";Buchkapitel;;"other research area
finance";Deutsch;;;März 2016;Universitätsverlag Ilmenau;II;;955-966;;;https://www.db-thueringen.de/receive/dbt_mods_0002...;Prof. Dr. Andrea Back;30 Jun 2016 11:44;27 Apr 2017 12:54;https://www.alexandria.unisg.ch/publications/248640
Workplace e-Collaboration in Practice: Practical Guidelines for Implementing e-Collaboration in Organizations.;https://www.alexandria.unisg.ch/213825/;Mayrhofer, David & Back, Andrea;Buchkapitel;;information management;Englisch;E-Collaboration;Nein;2004;;;;29-60;;;;David Mayrhofer;04 Aug 2004 12:08;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213825
Social Media im Unternehmenskontext und in der Arbeit.;https://www.alexandria.unisg.ch/214343/;Back, Andrea;Präsentation;;information management;Deutsch;Social Media, Business 2.0;Nein;23 Mai 2011;;;;;;;;Prof. Dr. Andrea Back;08 Sep 2011 15:17;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214343
Knowledge Networks: Linking Knowledge Management to Business Strategy.;https://www.alexandria.unisg.ch/214149/;"Vassiliadis, Stefanos; Wicki, Yvonne; Seufert, Andreas; von Krogh, G. & Back, Andrea";"Monograph
  	      
              (Working Paper)";;information management;Deutsch;Knowledge-Management-Strategien, Knowledge Management, Knowledge Networking, Knowledge Networks;Nein;1 Januar 1999;;;;;;;;Prof. Dr. Andrea Back;30 Jun 2006 12:03;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214149
Organizational Culture Impact on Acceptance and Use of Unified Communications & Collaboration Technology in Organizations.;https://www.alexandria.unisg.ch/223688/;Silic, Mario & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;"UTAUT, collaboration theory, cross-culture, UC&C technology
organizational culture";Ja;9 Juni 2013;;;;275-286;;;http://aisel.aisnet.org/bled2013/28;Prof. Dr. Andrea Back;18 Jun 2013 12:11;03 Mai 2017 14:54;https://www.alexandria.unisg.ch/publications/223688
Interview zu E-Learning im Unternehmen im Learntec-Studio.;https://www.alexandria.unisg.ch/66810/;Back, Andrea;Präsentation;;information management;Deutsch;;Nein;6 Februar 2002;;;;;;;;Prof. Dr. Andrea Back;03 Jul 2006 08:10;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66810
E-Learning und Wissensmanagement zusammenführen.;https://www.alexandria.unisg.ch/214323/;Back, Andrea;Buchkapitel;;information management;Deutsch;E-Learning, Wissensmanagement;Nein;2002;;;;;;;;Prof. Dr. Andrea Back;30 Jun 2006 10:05;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214323
Alles Technik oder was? Wenn IT-Trends aufs Business treffen.;https://www.alexandria.unisg.ch/216773/;Back, Andrea;Präsentation;;information management;Deutsch;;Nein;22 März 2012;;;;;;;;Prof. Dr. Andrea Back;20 Sep 2012 17:17;23 Aug 2016 11:14;https://www.alexandria.unisg.ch/publications/216773
Welche Kompetenzen in der digitalen Welt 2020 gebraucht werden.;https://www.alexandria.unisg.ch/213699/;Back, Andrea;Präsentation;;information management;Deutsch;;Nein;16 Juni 2010;;;;;;;;Prof. Dr. Andrea Back;17 Aug 2010 11:01;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213699
Massenspeicher, magnetischer.;https://www.alexandria.unisg.ch/196940/;Müller, Jochen;Buchkapitel;;information management;Deutsch;;Nein;2001;Springer;4., neubearb. u. erw. Aufl.;;;;;;Dr. Jochen Müller;23 Okt 2005 16:54;23 Aug 2016 11:10;https://www.alexandria.unisg.ch/publications/196940
Web 2.0 in der Unternehmenspraxis: Grundlagen, Fallstudien und Trends zum Einsatz von Social Software.;https://www.alexandria.unisg.ch/46001/;Social-Software-Anwendungen wie Wikis, Weblogs oder Social-Networking-Plattformen sind ein integraler Bestandteil der Weiterentwicklung des Internets, des vielzitierten Web 2.0. Zur Nutzung kommen diese Anwendungen aus dem Bedürfnis heraus, Wissen zu sammeln, bereitzustellen und zu verteilen bzw. Communities aufzubauen und ihnen Raum zum Austausch zu geben. Worin liegt nun aber der praktische Nutzen des Web 2.0 für Unternehmen? Im Rahmen dieses Buches nähern sich rund 30 Autoren aus Wissenschaft und Praxis der Beantwortung dieser Frage. Im Einführungsteil folgt einer Auseinandersetzung mit den Begriffen Web 2.0 und Social Software die nähere Erläuterung der unterschiedlichen Social-Software-Anwendungen wie Wikis, Weblogs oder Social Bookmarking. Im darauf folgenden Abschnitt rücken die Potenziale der Anwendung in Unternehmen und die Wissensarbeiter als Nutzer in den Fokus. Beantwortet werden Fragen wie die nach der notwendigen Unternehmenskultur und wichtigen Kompetenzen, um effizient mit Social Software im Unternehmen arbeiten zu können. Auch die Einführung solcher Anwendungen im Unternehmen wird thematisiert. Der dritte Teil des Buches enthält acht konkrete und umfangreich beschriebene Anwendungsfälle aus grossen und kleinen Unternehmen wie z.B. IBM, Deutsche Bahn, Opel, SUN Microsystems und der PSI AG. Im abschliessenden Teil werden zukünftige Entwicklungen und Visionen thematisiert. Das Buch liefert auf diese Weise sowohl Einsteigern in das Thema als auch Fortgeschrittenen zahlreiche wertvolle Anregungen zur gewinnbringenden Nutzung von Web-2.0-Applikationen in den täglichen Geschäftsprozessen von Unternehmen.;Buch;;information management;Deutsch;Web 2.0, Business 2.0, Enterprise 2.0, Social Software, Wiki, Weblog, Podcast, E-Collaboration;Nein;2008;Oldenbourg;;;332;;;;Elsy Zollikofer;18 Jun 2008 10:22;27 Feb 2016 14:58;https://www.alexandria.unisg.ch/publications/46001
Workplace E-Collaboration: Theoretical Foundations and Practical Implications.;https://www.alexandria.unisg.ch/213166/;Mayrhofer, David & Back, Andrea;"Monograph
  	      
              (Working Paper)";;information management;Englisch;E-Collaboration;Nein;1 April 2003;Institut für Wirtschaftsinformatik;;1/2003;;;;;David Mayrhofer;16 Apr 2009 14:59;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213166
Enterprise 2.0 für das Management.;https://www.alexandria.unisg.ch/146663/;Back, Andrea;Präsentation;;information management;Deutsch;Enterprise 2.0, Business 2.0;Nein;23 Mai 2011;;;;;;;;Prof. Dr. Andrea Back;22 Jun 2011 13:09;23 Aug 2016 11:10;https://www.alexandria.unisg.ch/publications/146663
Knowledge Network - Survey Findings (internal Paper).;https://www.alexandria.unisg.ch/213935/;"Wicki, Yvonne; Enkel, Ellen; Seufert, Andreas; Back, Andrea & von Krogh, Georg";"Monograph
  	      
              (Working Paper)";;information management;Deutsch;Knowledge-Management-Modelle, Knowledge-Management-Prozesse, Knowledge-Management-Strategien, Knowledge Management, Knowledge Network Architecture, Knowledge Networking, Knowledge Networks, Knowledge Work Processes;Nein;1 Oktober 2001;;;;;;;;Prof. Dr. Andrea Back;30 Jun 2006 11:43;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213935
Lerneffektivität im Licht der Geschäftsziele: HR-Balanced Scorecard.;https://www.alexandria.unisg.ch/66873/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Balanced Scorecard;Nein;11 Februar 2004;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:46;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66873
Efficient And Ubiquitous Resource Allocation - Can Smartphones Improve Urban Traffic Flow Associated With Numerous Cars Searching For Parking Spaces?;https://www.alexandria.unisg.ch/226174/;"Fiechter, Daniel; Sammer, Thomas & Back, Andrea";"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;;Nein;2 Oktober 2013;Association for European Transport;;;1-17;2313-1853;;http://abstracts.aetransport.org/paper/index/id/79...;Prof. Dr. Andrea Back;08 Okt 2013 09:01;14 Jun 2017 12:20;https://www.alexandria.unisg.ch/publications/226174
Return on E-Learning Investment.;https://www.alexandria.unisg.ch/66882/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning;Nein;4 März 2005;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:27;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66882
Bloggen und Microblogging in Lehrveranstaltungen : Variationen aus sieben Jahren eigener Lehrpraxis.;https://www.alexandria.unisg.ch/223503/;Back, Andrea;Buchkapitel;;information management;Deutsch;Web 2.0, Weblogs, Microblogging;Nein;2013;;;;151-164;;;;Prof. Dr. Andrea Back;12 Jun 2013 10:14;23 Aug 2016 11:16;https://www.alexandria.unisg.ch/publications/223503
Die praktische Umsetzung von Blended-Learning-Angeboten in der betrieblichen Aus- und Weiterbildung.;https://www.alexandria.unisg.ch/213390/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Blended Learning;Nein;3 April 2004;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 11:46;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213390
