web-scraper-order;web-scraper-start-url;linkto;linkto-href;Autor;Title;;;;;;;;;;;;;;;;;;;
1647211564-5800;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Kanzleiinformationssystem.;https://www.alexandria.unisg.ch/213561/;;Kanzleiinformationssystem;;;;;;;;;;;;;;;;;;;
1647211251-5593;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Perspectives for our partners. Innovation and the network option.;https://www.alexandria.unisg.ch/288/;Rumyantseva, Maria;;;;;;;;;;;;;;;;;;;;
1647211180-5536;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Enterprise 2.0 - Nutzung & Handlungsbedarf im innerbetrieblichen, B2B und B2C Kontext.;https://www.alexandria.unisg.ch/214359/;;Enterprise 2.0 - Nutzung & Handlungsbedarf im innerbetrieblichen, B2B und B2C Kontext;;;;;;;;;;;;;;;;;;;
1647210931-5306;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Wissensmanagement und IT-Technologie - eine häufig missverstandene Beziehung.;https://www.alexandria.unisg.ch/213261/;;Wissensmanagement und IT-Technologie - eine häufig missverstandene Beziehung;;;;;;;;;;;;;;;;;;;
1647211231-5577;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Perspective for our partners: New Ventures: important concepts and theories.;https://www.alexandria.unisg.ch/294/;Makarevitch, Alexei & Enkel, Ellen;Perspective for our partners: New Ventures: important concepts and theories;;;;;;;;;;;;;;;;;;;
1647211225-5571;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Performance Measurement of Communities of Practice.;https://www.alexandria.unisg.ch/213234/;Raimann, Joerg;;;;;;;;;;;;;;;;;;;;
1647211414-5700;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;E-Learning: Weiterbildung im Internet.;https://www.alexandria.unisg.ch/213696/;;E-Learning: Weiterbildung im Internet;;;;;;;;;;;;;;;;;;;
1647211288-5622;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Wearable Business Solutions – Herleitung und Auswirkung auf die Value Creation durch Unternehmen im Jahr 2021 mittels Szenariotechnik und Delphimethode.;https://www.alexandria.unisg.ch/249220/;Heusler, Noemi & Back, Andrea;Wearable Business Solutions – Herleitung und Auswirkung auf die Value Creation durch Unternehmen im Jahr 2021 mittels Szenariotechnik und Delphimethode;;;;;;;;;;;;;;;;;;;
1647210935-5310;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;E-Learning als Wachstumsmarkt: Zahlen, Fakten und Beispiele.;https://www.alexandria.unisg.ch/66840/;;E-Learning als Wachstumsmarkt: Zahlen, Fakten und Beispiele;;;;;;;;;;;;;;;;;;;
1647211509-5760;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Efficient And Ubiquitous Resource Allocation - Can Smartphones Improve Urban Traffic Flow Associated With Numerous Cars Searching For Parking Spaces?;https://www.alexandria.unisg.ch/226174/;Fiechter, Daniel;;;;;;;;;;;;;;;;;;;;
